Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/mikesimonsen/status/1985872320360284650,"mikesimonsen","Not layoffs, hiring. We're not hiring anywhere.

There is a parallel between the labor market and the housing market. We're staying in place. We used to quit our job in Chicago and move to Orlando or Austin to get a new gig. 
But they're not hiring in those places so I don't",99,1,0,1,2025-11-05T00:50:31+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/Leokennethfox/status/1983340017335587158,"Leokennethfox","Johnson will do what is necessary to be a winning coach. He should check into the LSU gig because Chicago Bears organization isn’t a place for success",104,2,0,1,2025-10-29T01:08:03+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/KyleHZRT/status/1975219526192304210,"KyleHZRT","Hahaha don't believe so. My last hockey gig was at a place called Robert Morris University Illinois, in Chicago. It doesn't exist anymore, it was absorbed by Roosevelt University in 2020. But I once joked with RMU (PA) men's hockey coach Derek Schooley about mail confusion.",959,3,1,1,2025-10-06T15:20:07+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/WCTA_Chicago/status/1951070074321739937,"WCTA_Chicago","Went on walk, found cool bookstore close to us. 
They've had poetry readings and who knows, maybe I can get a busker a gig there. Right off the Brown line
He seemed receptive to some form of maybe art show and other things.",219,7,2,1,2025-07-31T23:58:49+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/pugsandco/status/1943761875465859573,"pugsandco","Gamekeepers was all drunk college kids. Big Cubs game day bar back then. Huge money. But man was that a shitty bartending gig. My favorite was a place on Lincoln Ave called Finley Dunne's tavern. It would be the perfect Chicago tavern were it not on the North Side.",426,0,1,0,2025-07-11T19:58:39+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/NEXAMortgageGuy/status/1899842778512691680,"NEXAMortgageGuy","Multi-Family vacation spot on Lake Wisconsin, and just over 2 hours from Chicago! I love this place!",3,0,0,0,2025-03-12T15:19:50+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/JosephTechcoat/status/1884308666956013810,"JosephTechcoat","This guy is why you have the Rooney Rule in place.  How in tf did he get the job?  Thomas Brown formerly of Chicago bears now with the Patriots should’ve had this gig over this guy.",45,0,0,0,2025-01-28T18:32:49+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/JOERIANMUSIC2/status/1882160133704405010,"JOERIANMUSIC2","They always say you need to be at the right place, at the right time and know someone...
Finally grabbed a band gig at the Hard Rock on the strip in Chicago....and today corporate announced they are closing their doors 3 weeks prior... sounds right on par for joe rian music.",170,4,0,3,2025-01-22T20:15:19+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/Lorenzo12251/status/1877812637381140791,"Lorenzo12251","I’m sorry but LMFAO. You think Ben Johnson wants to hitch his first head coaching gig on mid 30s Kirk Cousins coming off an Achilles injury vs a place like Chicago or Jacksonville with young QBs?!?!",215,0,0,1,2025-01-10T20:19:55+00:00,2025-11-13T17:53:49.033046+00:00
https://x.com/MantidsRCute/status/1965401510889881944,"MantidsRCute","Oh snap.
Spirit said no.
I'm in a cast for weeks.
No can do.
No expulsion work from me on that Chicago gig.
Can't get to the lake.
Maybe the put in place bois can halp you with that situation?
They seem very competent and have caused zero problems.",28,0,0,0,2025-09-09T13:06:50+00:00,2025-11-13T17:53:19.343986+00:00
